indicator_name,indicator_code
Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.3034.ZS
Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.3034.ZS
Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.3034.ZS
Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS
Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary,BAR.PRM.CMPT.3539.ZS
Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.3539.ZS
Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.3539.ZS
Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.3539.ZS
Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.3539.ZS
Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.3539.ZS
Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS
Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary,BAR.PRM.CMPT.4044.ZS
Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.4044.ZS
Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.4044.ZS
Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.4044.ZS
Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.4044.ZS
Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.4044.ZS
Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS
Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary,BAR.PRM.CMPT.4549.ZS
Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.4549.ZS
Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.4549.ZS
Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.4549.ZS
Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.4549.ZS
Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.4549.ZS
Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS
Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary,BAR.PRM.CMPT.5054.ZS
Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.5054.ZS
Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.5054.ZS
Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.5054.ZS
Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.5054.ZS
Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.5054.ZS
Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS
Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary,BAR.PRM.CMPT.5559.ZS
Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.5559.ZS
Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.5559.ZS
Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.5559.ZS
Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.5559.ZS
Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.5559.ZS
Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS
Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary,BAR.PRM.CMPT.6064.ZS
Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.6064.ZS
Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.6064.ZS
Barro-Lee: Percentage of population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.6064.ZS
Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.6064.ZS
Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.6064.ZS
Barro-Lee: Percentage of population age 65-69 with no education,BAR.NOED.6569.ZS
Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary,BAR.PRM.CMPT.6569.ZS
Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.6569.ZS
Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.6569.ZS
Barro-Lee: Percentage of population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.6569.ZS
Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.6569.ZS
Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.6569.ZS
Barro-Lee: Percentage of population age 70-74 with no education,BAR.NOED.7074.ZS
Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary,BAR.PRM.CMPT.7074.ZS
Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.7074.ZS
Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.7074.ZS
Barro-Lee: Percentage of population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.7074.ZS
Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.7074.ZS
Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.7074.ZS
Barro-Lee: Percentage of population age 75+ with no education,BAR.NOED.75UP.ZS
Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary,BAR.PRM.CMPT.75UP.ZS
Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary),BAR.PRM.ICMP.75UP.ZS
Barro-Lee: Percentage of population age 75+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.75UP.ZS
Barro-Lee: Percentage of population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.75UP.ZS
Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.75UP.ZS
Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),BAR.TER.ICMP.75UP.ZS
"Barro-Lee: Population in thousands, age 15+, female",BAR.POP.15UP.FE
"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP
"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE
"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519
"Barro-Lee: Population in thousands, age 20-24, female",BAR.POP.2024.FE
"Barro-Lee: Population in thousands, age 20-24, total",BAR.POP.2024
"Barro-Lee: Population in thousands, age 25+, female",BAR.POP.25UP.FE
"Barro-Lee: Population in thousands, age 25+, total",BAR.POP.25UP
"Barro-Lee: Population in thousands, age 25-29, female",BAR.POP.2529.FE
"Barro-Lee: Population in thousands, age 25-29, total",BAR.POP.2529
"Barro-Lee: Population in thousands, age 30-34, female",BAR.POP.3034.FE
"Barro-Lee: Population in thousands, age 30-34, total",BAR.POP.3034
"Barro-Lee: Population in thousands, age 35-39, female",BAR.POP.3539.FE
"Barro-Lee: Population in thousands, age 35-39, total",BAR.POP.3539
"Barro-Lee: Population in thousands, age 40-44, female",BAR.POP.4044.FE
"Barro-Lee: Population in thousands, age 40-44, total",BAR.POP.4044
"Barro-Lee: Population in thousands, age 45-49, female",BAR.POP.4549.FE
"Barro-Lee: Population in thousands, age 45-49, total",BAR.POP.4549
"Barro-Lee: Population in thousands, age 50-54, female",BAR.POP.5054.FE
"Barro-Lee: Population in thousands, age 50-54, total",BAR.POP.5054
"Barro-Lee: Population in thousands, age 55-59, female",BAR.POP.5559.FE
"Barro-Lee: Population in thousands, age 55-59, total",BAR.POP.5559
"Barro-Lee: Population in thousands, age 60-64, female",BAR.POP.6064.FE
"Barro-Lee: Population in thousands, age 60-64, total",BAR.POP.6064
"Barro-Lee: Population in thousands, age 65-69, female",BAR.POP.6569.FE
"Barro-Lee: Population in thousands, age 65-69, total",BAR.POP.6569
"Barro-Lee: Population in thousands, age 70-74, female",BAR.POP.7074.FE
"Barro-Lee: Population in thousands, age 70-74, total",BAR.POP.7074
"Barro-Lee: Population in thousands, age 75+, female",BAR.POP.75UP.FE
"Barro-Lee: Population in thousands, age 75+, total",BAR.POP.75UP
Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP
Capital expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCAP
Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS
Current expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCUR
Current expenditure other than staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNNONS
Current expenditure other than staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNNONS
Duration of compulsory education (years),SE.COM.DURS
"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T
"Enrolment in early childhood education, female (number)",UIS.E.0.F
"Enrolment in early childhood education, private institutions, both sexes (number)",UIS.E.0.PR.T
"Enrolment in early childhood education, public institutions, both sexes (number)",UIS.E.0.PU.T
"Enrolment in lower secondary education, both sexes (number)",UIS.E.2
"Enrolment in lower secondary education, female (number)",UIS.E.2.F
"Enrolment in lower secondary education, public institutions, both sexes (number)",UIS.E.2.PU
"Enrolment in lower secondary education, public institutions, female (number)",UIS.E.2.PU.F
"Enrolment in lower secondary general, both sexes (number)",UIS.E.2.GPV
"Enrolment in lower secondary general, female (number)",UIS.E.2.GPV.F
"Enrolment in post-secondary non-tertiary education, both sexes (number)",UIS.E.4
"Enrolment in post-secondary non-tertiary education, female (number)",UIS.E.4.F
"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL
"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE
"Enrolment in pre-primary education, private institutions, both sexes (number)",UIS.E.02.PR
"Enrolment in pre-primary education, private institutions, female (number)",UIS.E.02.PR.F
"Enrolment in pre-primary education, public institutions, both sexes (number)",UIS.E.02.PU
"Enrolment in pre-primary education, public institutions, female (number)",UIS.E.02.PU.F
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL
"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE
"Enrolment in primary education, private institutions, both sexes (number)",UIS.E.1.PR
"Enrolment in primary education, private institutions, female (number)",UIS.E.1.PR.F
"Enrolment in primary education, public institutions, both sexes (number)",UIS.E.1.PU
"Enrolment in primary education, public institutions, female (number)",UIS.E.1.PU.F
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE
"Enrolment in secondary education, private institutions, both sexes (number)",UIS.E.23.PR
"Enrolment in secondary education, public institutions, both sexes (number)",UIS.E.23.PU
"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC
"Enrolment in secondary general, female (number)",SE.SEC.ENRL.GC.FE
"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO
"Enrolment in secondary vocational, female (number)",SE.SEC.ENRL.VO.FE
"Enrolment in tertiary education per 100,000 inhabitants, both sexes",UIS.TE_100000.56
"Enrolment in tertiary education per 100,000 inhabitants, female",UIS.TE_100000.56.F
"Enrolment in tertiary education per 100,000 inhabitants, male",UIS.TE_100000.56.M
"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL
"Enrolment in tertiary education, all programmes, female (number)",SE.TER.ENRL.FE
"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)",UIS.E.5.B
"Enrolment in tertiary education, ISCED 5 programmes, female (number)",UIS.E.5.B.F
"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8
"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F
"Enrolment in upper secondary education, both sexes (number)",UIS.E.3
"Enrolment in upper secondary education, female (number)",UIS.E.3.F
"Enrolment in upper secondary education, private institutions, both sexes (number)",UIS.E.3.PR
"Enrolment in upper secondary education, public institutions, both sexes (number)",UIS.E.3.PU
"Enrolment in upper secondary general, both sexes (number)",UIS.E.3.GPV
"Enrolment in upper secondary general, female (number)",UIS.E.3.GPV.F
"Enrolment in upper secondary vocational, both sexes (number)",UIS.E.3.V
"Enrolment in upper secondary vocational, female (number)",UIS.E.3.V.F
Expenditure on education as % of total government expenditure (%),SE.XPD.TOTL.GB.ZS
Expenditure on secondary as % of government expenditure on education (%),SE.XPD.SECO.ZS
Expenditure on secondary as % of total government expenditure (%),UIS.XGOVEXP.IMF.23
Expenditure on tertiary as % of government expenditure on education (%),SE.XPD.TERT.ZS
Expenditure on tertiary as % of total government expenditure (%),UIS.XGOVEXP.IMF.56
GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD
GDP at market prices (current US$),NY.GDP.MKTP.CD
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD
GDP per capita (current US$),NY.GDP.PCAP.CD
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
GNI (current US$),NY.GNP.MKTP.CD
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
Government expenditure in educational institutions as % of GDP (%),UIS.XGDP.FSGOV.FDINSTADM.FFD
Government expenditure in secondary institutions education as % of GDP (%),XGDP.23.FSGOV.FDINSTADM.FFD
Government expenditure in tertiary institutions as % of GDP (%),XGDP.56.FSGOV.FDINSTADM.FFD
Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS
Government expenditure on secondary education as % of GDP (%),UIS.XGDP.23.FSGOV
Government expenditure on tertiary education as % of GDP (%),UIS.XGDP.56.FSGOV
Government expenditure per secondary student (constant PPP$),UIS.XUNIT.PPPCONST.23.FSGOV
Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Government expenditure per secondary student (PPP$),UIS.XUNIT.PPP.23.FSGOV
Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Government expenditure per secondary student as % of GDP per capita (%),SE.XPD.SECO.PC.ZS
Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS
"Graduates from ISCED 5 programmes in tertiary education, both sexes (number)",UIS.G.5.B.T
"Graduates from ISCED 5 programmes in tertiary education, female (number)",UIS.G.5.B.F
"Graduates from ISCED 8 programmes in tertiary education, both sexes (number)",UIS.G.8.T
"Graduates from ISCED 8 programmes in tertiary education, female (number)",UIS.G.8.F
"Graduates from tertiary education, both sexes (number)",SE.TER.GRAD
"Graduates from tertiary education, female (number)",SE.TER.GRAD.FE
"Gross enrolment ratio, lower secondary, both sexes (%)",SE.SEC.ENRR.LO
"Gross enrolment ratio, lower secondary, female (%)",SE.SEC.ENRR.LO.FE
"Gross enrolment ratio, lower secondary, gender parity index (GPI)",UIS.GER.2.GPI
"Gross enrolment ratio, lower secondary, male (%)",SE.SEC.ENRR.LO.MA
"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4
"Gross enrolment ratio, post-secondary non-tertiary, female (%)",UIS.GER.4.F
"Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI)",UIS.GER.4.GPI
"Gross enrolment ratio, post-secondary non-tertiary, male (%)",UIS.GER.4.M
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE
"Gross enrolment ratio, pre-primary, gender parity index (GPI)",UIS.GER.0.GPI
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA
"Gross enrolment ratio, primary and lower secondary, both sexes (%)",UIS.GER.12
"Gross enrolment ratio, primary and lower secondary, female (%)",UIS.GER.12.F
"Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)",UIS.GER.12.GPI
"Gross enrolment ratio, primary and lower secondary, male (%)",UIS.GER.12.M
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M
"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR
"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F
"Gross enrolment ratio, primary to tertiary, gender parity index (GPI)",UIS.GER.1T6.GPI
"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA
"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR
"Gross enrolment ratio, tertiary, female (%)",SE.TER.ENRR.FE
"Gross enrolment ratio, tertiary, gender parity index (GPI)",SE.ENR.TERT.FM.ZS
"Gross enrolment ratio, tertiary, male (%)",SE.TER.ENRR.MA
"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP
"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE
"Gross enrolment ratio, upper secondary, gender parity index (GPI)",UIS.GER.3.GPI
"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%)",SE.TER.CMPL.FE.ZS
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI)",UIS.GGR.5.A.GPI
"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%)",SE.TER.CMPL.MA.ZS
"Gross outbound enrolment ratio, all regions, both sexes (%)",UIS.GOER.56
"Inbound mobility rate, both sexes (%)",UIS.MSEP.56
"Inbound mobility rate, female (%)",UIS.MSEP.56.F
"Inbound mobility rate, male (%)",UIS.MSEP.56.M
Internet users (per 100 people),IT.NET.USER.P2
Labor force with advanced education (% of total),SL.TLF.ADVN.ZS
"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS
"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS
Labor force with basic education (% of total),SL.TLF.BASC.ZS
"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS
"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS
Labor force with intermediate education (% of total),SL.TLF.INTM.ZS
"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS
"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT
"Net flow of internationally mobile students (inbound - outbound), both sexes (number)",UIS.MENF.56
"Net flow ratio of internationally mobile students (inbound - outbound), both sexes (%)",UIS.MENFR.56
Official entrance age to compulsory education (years),UIS.CEAGE.1
Official entrance age to lower secondary education (years),SE.SEC.AGES
Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV
Official entrance age to pre-primary education (years),UIS.THAGE.0
Official entrance age to primary education (years),SE.PRM.AGES
Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV
"Outbound mobility ratio, all regions, both sexes (%)",UIS.OMR.56
"Percentage of all inbound internationally mobile students in tertiary education in the host country who are female, (%)",UIS.FEP.56.FOREIGN
"Percentage of all students in tertiary education enrolled in ISCED 5, both sexes (%)",UIS.TEP.5.B
"Percentage of all students in tertiary education enrolled in ISCED 8, both sexes (%)",UIS.TEP.8
Percentage of enrolment in early childhood education programmes in private institutions (%),UIS.PRP.0
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS
Percentage of enrolment in secondary education in private institutions (%),SE.SEC.PRIV.ZS
Percentage of enrolment in upper secondary education in private institutions (%),UIS.PRP.3
"Percentage of female graduates from tertiary education graduating from Agriculture programmes, female (%)",SE.TER.GRAD.AG.FE.ZS
"Percentage of female graduates from tertiary education graduating from Education programmes, female (%)",SE.TER.GRAD.ED.FE.ZS
"Percentage of female graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, female (%)",SE.TER.GRAD.EN.FE.ZS
"Percentage of female graduates from tertiary education graduating from Health and Welfare programmes, female (%)",SE.TER.GRAD.HL.FE.ZS
"Percentage of female graduates from tertiary education graduating from Humanities and Arts programmes, female (%)",SE.TER.GRAD.HU.FE.ZS
"Percentage of female graduates from tertiary education graduating from programmes in unspecified fields, female (%)",SE.TER.GRAD.OT.FE.ZS
"Percentage of female graduates from tertiary education graduating from Science programmes, female (%)",SE.TER.GRAD.SC.FE.ZS
"Percentage of female graduates from tertiary education graduating from Services programmes, female (%)",SE.TER.GRAD.SV.FE.ZS
"Percentage of female graduates from tertiary education graduating from Social Sciences, Business and Law programmes, female (%)",SE.TER.GRAD.SS.FE.ZS
"Percentage of female students in lower secondary education enrolled in general programmes, female (%)",UIS.GTVP.2.GPV.F
"Percentage of female students in secondary education enrolled in general programmes, female (%)",UIS.GTVP.23.GPV.F
"Percentage of female students in secondary education enrolled in vocational programmes, female (%)",SE.SEC.ENRL.FE.VO.ZS
"Percentage of female students in tertiary education enrolled in Agriculture programmes, female (%)",UIS.FOSEP.56.F600.F
"Percentage of female students in tertiary education enrolled in Education programmes, female (%)",UIS.FOSEP.56.F140.F
"Percentage of female students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, female (%)",UIS.FOSEP.56.F500.F
"Percentage of female students in tertiary education enrolled in Health and Welfare programmes, female (%)",UIS.FOSEP.56.F700.F
"Percentage of female students in tertiary education enrolled in Humanities and Arts programmes, female (%)",UIS.FOSEP.56.F200.F
Percentage of female students in tertiary education enrolled in ISCED 5,UIS.TEP.5.B.F
Percentage of female students in tertiary education enrolled in ISCED 8,UIS.TEP.8.F
"Percentage of female students in tertiary education enrolled in programmes in unspecified fields, female (%)",UIS.FOSEP.56.FUK.F
"Percentage of female students in tertiary education enrolled in Science programmes, female (%)",UIS.FOSEP.56.F400.F
"Percentage of female students in tertiary education enrolled in Services programmes, female (%)",UIS.FOSEP.56.F800.F
"Percentage of female students in tertiary education enrolled in Social Sciences, Business and Law programmes, female (%)",UIS.FOSEP.56.F300.F
"Percentage of female students in upper secondary education enrolled in general programmes, female (%)",UIS.GTVP.3.GPV.F
"Percentage of female students in upper secondary education enrolled in vocational programmes, female (%)",UIS.GTVP.3.V.F
Percentage of graduates from Agriculture programmes in tertiary education who are female (%),SE.TER.GRAD.FE.AG.ZS
Percentage of graduates from Education programmes in tertiary education who are female (%),SE.TER.GRAD.FE.ED.ZS
"Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)",SE.TER.GRAD.FE.EN.ZS
Percentage of graduates from Health and Welfare programmes in tertiary education who are female (%),SE.TER.GRAD.FE.HL.ZS
Percentage of graduates from Humanities and Arts programmes in tertiary education who are female (%),SE.TER.GRAD.FE.HU.ZS
Percentage of graduates from non-science and non-technology fields in tertiary education who are female (%),UIS.FGP.56.FNON400500
Percentage of graduates from Science and Technology programmes in tertiary education who are female (%),UIS.FGP.56.F400500
Percentage of graduates from Science programmes in tertiary education who are female (%),SE.TER.GRAD.FE.SC.ZS
Percentage of graduates from Services programmes in tertiary education who are female (%),SE.TER.GRAD.FE.SV.ZS
"Percentage of graduates from Social Sciences, Business and Law programmes in tertiary education who are female (%)",SE.TER.GRAD.FE.SS.ZS
"Percentage of graduates from tertiary education graduating from Agriculture programmes, both sexes (%)",SE.TER.GRAD.AG.ZS
"Percentage of graduates from tertiary education graduating from Education programmes, both sexes (%)",SE.TER.GRAD.ED.ZS
"Percentage of graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, both sexes (%)",SE.TER.GRAD.EN.ZS
"Percentage of graduates from tertiary education graduating from Health and Welfare programmes, both sexes (%)",SE.TER.GRAD.HL.ZS
"Percentage of graduates from tertiary education graduating from Humanities and Arts programmes, both sexes (%)",SE.TER.GRAD.HU.ZS
"Percentage of graduates from tertiary education graduating from programmes in unspecified fields, both sexes (%)",SE.TER.GRAD.OT.ZS
"Percentage of graduates from tertiary education graduating from Science programmes, both sexes (%)",SE.TER.GRAD.SC.ZS
"Percentage of graduates from tertiary education graduating from Services programmes, both sexes (%)",SE.TER.GRAD.SV.ZS
"Percentage of graduates from tertiary education graduating from Social Sciences, Business and Law programmes, both sexes (%)",SE.TER.GRAD.SS.ZS
Percentage of graduates from tertiary education who are female (%),SE.TER.GRAD.FE.ZS
Percentage of graduates from tertiary ISCED 5 programmes who are female (%),UIS.FGP.5.B
Percentage of graduates from tertiary ISCED 8 programmes who are female (%),UIS.FGP.8
"Percentage of male graduates from tertiary education graduating from Agriculture programmes, male (%)",UIS.FOSGP.56.F600.M
"Percentage of male graduates from tertiary education graduating from Education programmes, male (%)",UIS.FOSGP.56.F140.M
"Percentage of male graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, male (%)",UIS.FOSGP.56.F500.M
"Percentage of male graduates from tertiary education graduating from Health and Welfare programmes, male (%)",UIS.FOSGP.56.F700.M
"Percentage of male graduates from tertiary education graduating from Humanities and Arts programmes, male (%)",UIS.FOSGP.56.F200.M
"Percentage of male graduates from tertiary education graduating from Science programmes, male (%)",UIS.FOSGP.56.F400.M
